UID,WID,Understand,attempt,time,distance
90910034,22,4,1,14133,3546.91
90910034,32,4,1,17639,4289.3
90910034,45,3,1,38736,5846.37
90910034,46,3,1,37457,6468.38
90910034,54,4,1,34672,6259.17
90910034,58,2,1,62581,6623.21
90910034,59,2,1,53553,6337.09
90910034,60,2,1,46104,5692.89
90910034,61,4,1,19632,4150.42
90910034,67,4,1,18627,3721.02
90910034,68,3,1,52678,7144.05
90910034,76,2,1,46104,5367.18
90910034,89,3,1,53866,7934
90910034,92,2,1,89846,9807.71
90910034,99,2,1,138045,6207.12
90910034,127,3,1,61162,8082.96
90910034,129,3,1,33659,5991.5
90910034,138,3,1,40534,7961.04
90910034,139,2,1,76461,10987.4
90910034,141,3,1,39080,6398.84
90910034,143,3,1,32055,8288.53
90910034,147,3,1,90586,8858.67
90910034,160,2,1,85145,13409.5
90910034,161,2,1,111867,23711.3
90910034,162,4,1,12969,3166.67
90910034,176,3,1,31833,6101.96
90910034,181,2,1,73824,12223.7
90910034,184,2,1,99220,14238.1
90910034,186,2,1,64850,8828.16
90910034,191,4,1,31943,6785.94
90910038,22,4,1,14554,3734.22
90910038,32,4,1,18634,3953.2
90910038,45,3,1,36262,6098.76
90910038,46,4,1,18636,4664.15
90910038,54,3,1,39799,7259.93
90910038,58,3,1,27760,5732.61
90910038,59,3,1,61265,6632.44
90910038,60,2,1,94811,10892.8
90910038,61,4,1,21292,4621
90910038,67,4,1,17062,2562.39
90910038,68,4,1,22313,5146.05
90910038,76,3,1,46440,5947.47
90910038,89,4,1,30419,6038.1
90910038,92,3,1,39729,5171.56
90910038,99,4,1,23169,4144.5
90910038,127,2,1,65884,15046.4
90910038,129,4,1,37895,9229.77
90910038,138,3,1,21772,4371.91
90910038,139,3,1,56999,8354.81
90910038,141,3,1,59145,10839.7
90910038,143,4,1,11898,2798.99
90910038,147,2,1,278482,29707.6
90910038,160,3,1,37965,6921.13
90910038,161,3,1,62049,7618.16
90910038,162,4,1,15299,3485.21
90910038,176,4,1,19291,4254.44
90910038,181,4,1,28832,4912.3
90910038,184,3,1,42197,5406.7
90910038,186,3,1,51796,7555.35
90910038,191,3,1,59584,11873.5
99999998,0,4,3,107084,18003.7
99999998,0,4,5,4665,1648.57
99999998,0,2,6,30906,7769.97
99999998,0,4,7,29273,8780.5
99999998,4,4,1,24526,5698.03
99999998,4,2,4,13808,3231.02
99999998,5,2,1,8106,3084.45
99999998,5,2,6,71608,8638.98
99999998,12,2,2,6875,3200.15
99999998,353,4,1,3626,2117.11
99999998,361,4,1,8459,2454.28
99999999,18,4,1,3024,1449.67
99999999,19,4,1,53540,9121.87
99999999,41,4,1,4090,2191.56
99999999,310,2,2,3147,1782.99
99999999,344,2,1,3106,1926.2
99999999,350,2,1,3638,1763.97
99999999,356,4,1,2761,1734.11
99999999,357,2,1,2806,1721.92
99999999,358,2,1,2861,1799.22
99999999,376,2,1,3147,1650.96
99999999,381,2,2,3126,1396.77
