UID,WID,Understand,attempt,time,distance,averageSpeed,maxSpeed,maxStopTime,stopcount,xUTurnCount,yUTurnCount,thinkingTime,answeringTime,maxDDTime,DDCount,maxDDIntervalTime,totalDDIntervalTime
60910044,22,4,1,12361,3251.29,0.263028,2194.29,288,0,13,7,3609,8752,729,7,935,3826
60910044,32,4,1,28444,3430.64,0.12061,2855.66,1406,7,13,10,9644,18800,1033,7,6720,11645
60910044,45,3,1,56574,5672.23,0.100262,4179.38,6704,30,14,16,5134,51440,1905,10,13566,40187
60910044,46,3,1,48235,5455.07,0.113094,4262.65,5821,18,16,18,2062,46173,2921,11,8276,31729
60910044,54,3,1,65913,8741.25,0.132618,7736.9,7044,21,22,21,7562,58351,3634,11,15503,38177
60910044,58,3,1,69846,7720.92,0.110542,7328.39,3830,16,27,24,4166,65680,3736,12,11832,51321
60910044,59,3,1,51000,3825.03,0.0750005,3153.45,6057,18,14,8,5905,45095,9049,7,8343,20286
60910044,60,3,1,34408,3699.72,0.107525,1945.07,2426,9,12,8,9664,24744,2857,6,5495,12157
60910044,61,3,1,49343,7830.95,0.158704,7411.73,2448,17,19,18,6304,43039,2136,11,7031,28012
60910044,67,3,1,38404,5034.71,0.131099,3594.46,3375,9,14,14,8724,29680,1537,8,4935,15976
60910044,68,3,1,35371,3943.74,0.111496,3459.64,3432,4,9,9,5222,30149,2257,9,7639,19049
60910044,76,2,1,36318,4230.25,0.116478,3760.85,4153,13,12,7,7174,29144,3368,8,11528,17011
60910044,89,2,1,158689,12194,0.0768424,10900,10983,60,37,27,7537,151152,8946,16,29391,118482
60910044,92,3,1,37849,5554.64,0.146758,4570.16,4687,4,14,17,4985,32864,5305,9,3854,13270
60910044,99,2,1,61414,6804.45,0.110796,5729.7,3194,11,17,14,8191,53223,3985,9,6295,31067
60910044,127,2,1,109370,9669.59,0.0884118,9369.17,5199,38,26,24,10900,98470,3193,13,24407,79726
60910044,129,3,1,54914,7211.59,0.131325,5840.5,5416,17,18,16,11433,43481,1543,10,22031,33730
60910044,138,2,1,59896,6529.17,0.109008,4413.3,8101,18,13,14,3136,56760,7264,10,11679,38854
60910044,139,2,1,84707,9365.01,0.110558,8886.22,4052,24,24,17,4146,80561,23807,14,10056,35169
60910044,141,2,1,67546,6071.78,0.089891,4163.68,9648,26,18,15,4897,62649,4688,9,29287,49107
60910044,143,4,1,19271,2758.41,0.143138,2262.86,616,1,9,10,2375,16896,984,7,5704,10412
60910044,147,2,1,136368,11418.6,0.0837336,11049.5,8791,61,27,22,21297,115071,1952,14,32351,99670
60910044,160,2,1,149633,12646.2,0.0845146,12225.9,6746,60,40,21,7402,142231,13394,17,29797,100216
60910044,161,2,1,114772,14454.9,0.125944,14085.3,6936,30,39,38,9356,105416,2616,14,20607,87951
60910044,162,3,1,40495,3561.17,0.087941,1829.63,4056,17,15,9,2447,38048,1936,8,14655,26754
60910044,176,3,1,69331,8736.08,0.126005,7170.12,6548,29,28,19,5035,64296,3577,11,11351,37455
60910044,181,2,1,59872,4366.58,0.0729319,4001.08,5984,15,9,11,6625,53247,1649,9,19798,43655
60910044,184,2,1,86410,6524.84,0.0755102,3598.04,9736,36,27,22,2938,83472,4297,10,17830,67852
60910044,186,3,1,74152,8361.05,0.112756,7542.03,3577,34,27,14,14936,59216,1344,13,8359,42303
60910044,191,2,1,80371,7514.66,0.0934997,6665.46,12809,28,29,15,7761,72610,2224,11,21222,50450
60910046,22,4,1,13007,3722.53,0.286194,2465.2,380,0,10,6,2592,10415,769,7,999,4510
60910046,32,4,1,34366,5330.15,0.1551,4827.62,2527,7,26,26,4382,29984,2096,13,4384,18640
60910046,45,2,1,45266,5482.55,0.121119,5047.91,3384,9,20,15,5842,39424,1801,9,9671,31147
60910046,46,4,1,20086,4135.02,0.205866,3076.36,1146,5,11,8,3262,16824,817,7,4591,11383
60910046,54,4,1,25081,7426.13,0.296086,6025.7,418,0,20,14,8747,16334,782,9,1831,9468
60910046,58,2,1,51888,7102.98,0.136891,6416.07,1465,2,27,23,4832,47056,1891,12,14352,30398
60910046,59,4,1,17889,4196.36,0.234578,3768.07,1224,2,16,13,5210,12679,528,7,4207,8799
60910046,60,3,1,16185,3745.81,0.231437,3314.8,864,1,9,5,2368,13817,753,8,3071,8952
60910046,61,3,1,48022,8848.27,0.184255,6091.92,3391,11,26,24,9447,38575,1234,10,7336,31121
60910046,67,4,1,28184,5918.11,0.209981,5529.48,857,3,21,23,12288,15896,1145,7,2544,8990
60910046,68,3,1,40541,8824.27,0.217663,8218.24,1529,3,27,32,5752,34789,1081,9,13567,25859
60910046,76,3,1,28251,4325.67,0.153116,3871.03,805,1,16,12,11035,17216,817,8,3079,11612
60910046,89,3,1,165390,18966.7,0.114678,14049.5,8959,36,45,42,13440,151950,4539,14,57829,126952
60910046,92,4,1,34192,6035.87,0.176529,5598.07,2159,9,26,25,7249,26943,858,11,6512,20969
60910046,99,3,1,39792,6182.3,0.155365,5593.43,1651,4,25,20,4440,35352,2049,10,6752,23128
60910046,127,2,1,41454,6612.95,0.159525,5774.28,1232,6,18,15,13081,28373,3162,12,2767,15703
60910046,129,2,1,34801,7173.17,0.20612,6422.06,1440,6,17,22,6689,28112,1594,9,4878,17585
60910046,138,2,1,44516,5324.85,0.119617,3834.34,7992,5,19,25,2316,42200,1930,11,13055,31946
60910046,139,2,1,45825,7701.48,0.168063,7000.18,1894,9,29,14,4003,41822,865,14,7183,28654
60910046,141,2,1,48788,7175.75,0.14708,6230.03,1664,20,16,31,5187,43601,1049,10,11703,33714
60910046,143,4,1,13676,3284.51,0.240166,2775.08,469,0,10,10,3739,9937,897,7,1087,5488
60910046,147,2,1,83831,12566,0.149897,11599.1,2726,24,33,28,15888,67943,4154,12,13624,50179
60910046,160,2,1,46886,8519.45,0.181706,6231.84,1680,10,27,30,6912,39974,1858,13,4703,24950
60910046,161,2,1,71304,12239.4,0.17165,9967.43,4854,15,39,30,7408,63896,5522,14,16886,45229
60910046,162,3,1,27152,4704.6,0.173269,4022,1784,4,11,12,3312,23840,2633,9,4149,15407
60910046,176,3,1,34319,6271.04,0.182728,4013.15,1751,6,18,14,3831,30488,2496,10,6806,17983
60910046,181,3,1,33775,4398.03,0.130216,3941.47,1688,12,13,10,4127,29648,3320,11,5680,17145
60910046,184,2,1,42104,5763.61,0.13689,3777.58,2232,12,22,18,3537,38567,2107,9,7438,22091
60910046,186,3,1,44950,9881.63,0.219836,8683.54,2438,8,36,22,6541,38409,1329,9,16272,30366
60910046,191,4,1,18212,4142.47,0.227459,3608.12,440,0,13,16,5716,12496,881,8,1520,6130
60910090,22,4,1,13142,3208.43,0.244136,2395.52,437,0,8,9,2397,10745,729,7,1543,5368
60910090,32,4,1,16156,3476.06,0.215156,2797.37,632,2,11,15,3123,13033,891,8,2335,6912
60910090,45,3,1,91787,8058.66,0.0877974,6008.15,17685,7,19,22,20012,71775,1673,11,24327,49384
60910090,46,4,1,26585,3029.31,0.113948,2097.03,4984,8,9,7,2000,24585,849,7,15014,19196
60910090,54,4,1,22690,4888.4,0.215443,4496.92,2996,2,17,12,7356,15334,1000,9,1622,8214
60910090,58,4,1,72985,7265.18,0.0995435,4812.28,5256,11,26,21,15512,57473,1523,11,23040,45171
60910090,59,2,1,49689,3773.1,0.0759342,1668.91,7008,4,10,8,5330,44359,785,7,26111,38689
60910090,60,4,1,51309,3929.04,0.0765759,3526.5,12277,8,11,13,9749,41560,882,9,9216,23368
60910090,61,4,1,46525,5533.86,0.118944,5003.71,2517,7,15,10,19885,26640,1025,10,6127,19162
60910090,67,4,1,26862,6181.36,0.230116,5134.86,2271,4,21,16,8109,18753,874,8,6031,11258
60910090,68,4,1,44152,4582.43,0.103788,3834.5,6411,15,13,10,3040,41112,3323,9,11453,23072
60910090,76,2,1,180542,5323.89,0.0294884,3513.32,8984,3,14,7,40559,139983,826,9,105578,129384
60910090,89,4,1,83200,6551.11,0.0787393,4000.04,13375,12,23,15,21792,61408,3632,11,12496,40712
60910090,92,3,1,91554,6368.61,0.0695613,5850.09,3305,10,22,17,17978,73576,1154,10,13623,49016
60910090,99,4,1,54097,3800.16,0.0702471,2791.01,4264,2,15,10,9096,45001,688,9,18104,40081
60910090,127,4,1,129130,9702.13,0.0751346,9122.47,16528,13,23,12,19068,110062,1417,12,32655,81567
60910090,129,3,1,113978,9435.31,0.0827818,4805.97,29680,9,26,23,36258,77720,1464,11,35416,67523
60910090,138,2,1,119810,6427.59,0.0536482,5915.75,16476,22,18,18,13547,106263,1633,12,28777,96284
60910090,139,2,1,79927,6660.47,0.0833319,5116.01,3979,7,19,20,12200,67727,3223,13,38009,56946
60910090,141,2,1,162907,6267.78,0.0384746,5516.74,45962,10,20,18,16036,146871,13906,10,49047,122914
60910090,143,4,1,17248,2684.94,0.155667,1036.63,4255,1,13,9,6127,11121,1011,7,2304,5604
60910090,147,2,1,225598,9295.34,0.0412031,6604.83,49679,8,23,29,40048,185550,10425,14,109106,163359
60910090,160,3,1,89153,9993.35,0.112092,8926.27,13286,17,25,25,8722,80431,1232,13,15920,58734
60910090,161,2,1,127729,9405.29,0.0736347,7637.12,4604,16,26,16,11805,115924,1201,13,42145,105107
60910090,162,4,1,29854,4721.35,0.158148,4121.24,5260,3,16,8,8166,21688,1249,8,3967,14668
60910090,176,3,1,62542,4371.24,0.0698928,3521.18,3886,7,7,13,6486,56056,1746,9,15967,43697
60910090,181,4,1,45843,5557.54,0.12123,4804.92,12758,4,20,8,11458,34385,1241,10,2736,11449
60910090,184,3,1,97267,8219.07,0.0845,6762.63,14469,7,18,26,6933,90334,1265,14,15991,76423
60910090,186,4,1,96888,5107.54,0.0527159,4717.37,21662,6,13,10,28680,68208,1008,10,25543,61448
60910090,191,4,1,36750,6082.81,0.165519,5672.34,1696,3,19,14,10269,26481,3569,10,5120,16527
60910103,22,4,1,15385,3687.71,0.239695,2159.91,337,0,15,6,2474,12911,1049,7,1271,5433
60910103,32,4,1,20273,3760.21,0.185478,2627.97,401,0,9,6,3832,16441,826,8,1839,6393
60910103,45,3,1,87009,9227.59,0.106053,7348.41,5960,29,31,15,11352,75657,1356,12,17132,62054
60910103,46,4,1,25744,3920.27,0.152279,2789.1,1102,4,15,9,8192,17552,1146,7,3776,9419
60910103,54,3,1,37521,6424.86,0.171234,3895.28,4099,19,15,18,16659,20862,834,9,1831,7134
60910103,58,2,1,146677,18747.9,0.127817,16761.1,8950,41,53,37,13782,132895,1913,15,49107,112301
60910103,59,4,1,30544,4192.83,0.137272,2575.55,2296,7,18,10,5386,25158,983,7,4320,8254
60910103,60,2,1,53458,5426.5,0.10151,2351.42,3464,16,22,12,5059,48399,1089,8,12871,24993
60910103,61,3,1,30653,5605.58,0.182872,4215.04,696,5,17,12,6389,24264,1064,9,3520,12727
60910103,67,4,1,28201,4286.12,0.151985,2923.31,2127,16,17,13,12009,16192,841,7,1351,6114
60910103,68,3,1,29856,4286.66,0.143578,3119.16,1864,7,11,9,5176,24680,1368,9,3663,10192
60910103,76,2,1,80112,6664.73,0.0831926,5926.91,3336,36,16,16,21280,58832,1152,9,25583,34644
60910103,89,3,1,83164,13466.8,0.161931,8299.3,4673,35,46,22,19019,64145,1761,12,18430,45544
60910103,92,4,1,41728,4730.52,0.113366,2097.83,7911,6,15,8,6386,35342,1168,9,13728,21513
60910103,99,4,1,40814,8579.06,0.210199,6292.57,1521,10,26,17,14870,25944,1112,11,3135,13452
60910103,127,4,1,78229,10757.4,0.137511,10376.4,3807,20,29,22,20859,57370,1840,14,18430,43702
60910103,129,4,1,22996,5279,0.229561,4126.38,776,5,12,11,5922,17074,1161,9,2406,6515
60910103,138,2,1,61968,6032.89,0.0973549,4666.37,7581,16,26,27,12512,49456,2440,10,8583,23187
60910103,139,3,1,63143,8660.95,0.137164,7014.46,8202,10,25,33,5992,57151,10655,14,6568,27898
60910103,141,3,1,62360,9850.59,0.157963,9356.81,6928,6,30,20,14512,47848,1520,12,10960,33111
60910103,143,4,1,17288,3290.28,0.190321,2170.68,1008,4,6,5,4584,12704,960,7,1607,4969
60910103,147,3,1,81607,12335,0.151151,9381.49,6536,29,33,22,28176,53431,1127,14,12120,36472
60910103,160,3,1,60783,12391.9,0.203871,9140.22,1787,11,36,26,5360,55423,2713,13,6694,36508
60910103,161,3,1,98993,15411.1,0.155679,13150.9,6333,26,35,28,24138,74855,1521,13,11422,53827
60910103,162,4,1,27833,3396.08,0.122016,2173.94,719,1,13,15,13977,13856,850,7,1999,5239
60910103,176,3,1,63249,8016.84,0.12675,7337.12,3920,15,22,18,6513,56736,5305,14,26110,36115
60910103,181,3,1,44471,8027.93,0.180521,5224.48,3000,12,23,27,2568,41903,1631,10,11064,23211
60910103,184,3,1,97613,8789.25,0.0900418,5615.69,7687,30,32,19,7990,89623,4752,10,26152,72643
60910103,186,3,1,76744,9089.35,0.118437,4859.31,2561,34,20,17,9896,66848,2048,10,15479,46906
60910103,191,4,1,18720,4299.82,0.229691,3175.68,250,0,13,10,3376,15344,868,8,1360,6572
