UID,WID,Understand,attempt,time,distance,averageSpeed,maxSpeed,maxStopTime,xUTurnCount,yUTurnCount,thinkingTime,answeringTime,maxDDTime,DDCount,maxDDIntervalTime,totalDDIntervalTime
30914026,139,1,1,84795,10662.1,0.12574,9313.81,4023,32,28,5312,79483,1440,15,16458,56913
30914026,141,2,1,78273,7050.31,0.0900733,6566.84,4757,20,20,13738,64535,4432,13,15588,43871
30914026,143,3,1,21581,3665.46,0.169847,3094.54,304,13,11,3317,18264,672,8,1182,5592
30914026,147,2,1,124496,12700.3,0.102014,11707.5,10623,31,21,9121,115375,8176,15,17520,85775
30914026,160,2,1,105129,14743.1,0.140238,13161.7,5203,38,31,2914,102215,1441,16,31156,89525
30914026,161,2,1,260414,31621.2,0.121427,28314.2,6654,80,75,12839,247575,4618,34,31762,171864
30914026,162,4,1,13505,2745.38,0.203286,1993.75,476,9,5,2496,11009,992,7,1296,4449
30914026,176,3,1,32757,4511.62,0.13773,3954.44,1608,12,10,3461,29296,1411,9,3967,18049
30914026,181,2,1,50812,8575.24,0.168764,8072,1651,29,23,3747,47065,1282,13,4878,25876
30914026,184,2,1,140962,11052.4,0.0784072,9825,8791,41,36,3212,137750,8106,25,23886,103077
30914026,186,3,1,65537,6333.89,0.096646,5009.81,4184,14,14,9065,56472,3412,10,11440,32718
30914026,191,3,1,21008,3532.32,0.168142,2808.89,373,11,7,3041,17967,673,8,7932,12307
30914904,22,4,1,12548,3740.52,0.298097,3143.3,265,14,12,2951,9597,689,7,1341,4820
30914904,32,4,1,16738,3308.5,0.197664,2652.87,519,10,9,3802,12936,970,8,1638,6150
30914904,45,4,1,21061,3848.32,0.182723,3060.68,1121,9,12,4188,16873,1993,9,1807,8279
30914904,46,4,1,31153,4798.48,0.154029,2883.48,1384,11,17,1795,29358,1199,10,10915,22749
30914904,54,4,1,75071,13546.7,0.180452,12105.9,1552,46,48,11650,63421,2191,20,16383,49318
30914904,58,2,1,48420,7990.22,0.165019,7617.67,2906,27,18,4804,43616,1012,9,16744,34758
30914904,59,4,1,30400,5525.64,0.181764,4804.18,1023,15,7,6145,24255,2681,9,3557,11697
30914904,60,4,1,36522,6008.58,0.16452,5427.58,1848,24,17,4914,31608,6930,10,6471,17361
30914904,61,4,1,29678,5375.38,0.181123,4718.7,702,18,20,2934,26744,1217,10,6248,17021
30914904,67,4,1,38814,9616.37,0.247755,9016.46,2058,28,21,9472,29342,1849,9,6118,19458
30914904,68,4,1,29942,6057.98,0.202324,4782.08,806,20,16,5766,24176,1297,10,5063,12571
30914904,76,2,1,90935,10039,0.110397,9396.72,5163,45,30,7761,83174,9586,15,19637,62167
30914904,89,4,1,22704,6354.36,0.279878,4630.54,624,14,11,6407,16297,810,10,3390,9585
